Country,Year_1,Month_1,type,Event Category,EventDescription
Timor-Leste,2006,May,Resistance,Violent protest,Loromonu policemen and fired Loromonu military personnel clash violently clash with remaining Lorosae-controlled army
Timor-Leste,2006,June,Resistance,State attempts to prevent backsliding,"In order to put an end to the violent crisis, Prime Minister Mari Alkatiri resigns after fierce pressure from protestors and President Xanana Gusmao"
Timor-Leste,2006,Unknown,Precursor,Non-state violence,"At least 25 people were killed and about 150,000 were displaced and had to take refuge in makeshift camps."
Timor-Leste,2006,Unknown,Symptom,Foreign military action,"Foreign troops came to restore order. After backlash regarding his handling of the unrest, Prime Minister Alkatiri resigned, making way for Jos? Ramos-Horta to take his position."
Timor-Leste,2007,March,Precursor,Electoral violence,Timor-Leste plunges into a state of unrest after the arrest of Rogerio Lobato and Xanana Gusmao's success in the presidential election.
Timor-Leste,2007,May,Resistance,Increase in electoral integrity,Polling place logistics dramatically improved between rounds one and two of the presidential election.
Timor-Leste,2007,June,Resistance,Increase in electoral integrity,"Turnout for the election was 80.5%, which is extraordinarily high."
Timor-Leste,2007,August,Precursor,Electoral violence,There were minor incidences of violence where volleys of rocks were exchanged between rival groups on the day before the election.
Timor-Leste,2007,August,Precursor,Electoral violence,"The Fretilin party was outraged that despite achieving a plurality, they were locked out of power in the governing coalition and some of their supporters went on a rampage, destroying homes"
Timor-Leste,2008,February,Precursor,Non-state violence,In February 2008 President Ramos-Horta survived an attempted assassination by militant forces
Timor-Leste,2008,February,Precursor,Coup or regime collapse,"Mutinous troops led by Major Alfredo Reinado attempt to assassinate President Jose Ramos-Horta and Prime Minister Xanana Gusmao in a failed coup, seriously injuring President Ramos-Horta"
Timor-Leste,2008,July,Resistance,State attempts to prevent backsliding,"The Commission of Truth and Friendship (CTF) investigates pro-Indonesia violence of 1999 independence movement, reducing militia leader Joni Marques' sentence and overturning former militia leader Eurico Guterres' sentence"
Timor-Leste,2009,June,Resistance,Check on executive by legislature,The government established the Anti-Corruption Commission which had powers to prevent and investigate acts of corruption
Timor-Leste,2009,August,Symptom,Reduction in judicial independence,"The Prime minister and President wanted to prioritize relations with Indonesia, so ordered the release of a militia leader convicted of serious crimes by the UN"
Timor-Leste,2009,October,Symptom,No-confidence votes or decreased voter turnout,No-confidence vote called in government after President Jos? Ramos-Horta releases pro-Indonesian militia leader Maternus Bere before he has a proper trial
Timor-Leste,2009,NA,Precursor,Delegitimizing or weakening judiciary,President Jos? Ramos-Horta releases pro-Indonesian militia leader Maternus Bere before he has a proper trial
Timor-Leste,2009,NA,Precursor,Vertical corruption,"The Fretilin party, led by Prime Minister Mari Alkatiri, was under investigation by the World Bank, and there was evidence that Alkatiri abused his power to get government contracts for his allies and relatives."
Timor-Leste,2010,June,Precursor,Electoral violence,"Fretilin, the former ruling party, rejected the appointment of Jose Alexandre Gusmao as Prime Minister, and the party supporters conducted riot demonstrations in the capital Dili."
Timor-Leste,2010,November,Precursor,Delegitimizing or weakening judiciary,"President Jose Ramos-Horta commutes sentences for 23 rebels and pardons their senior leader, Gastao Salsinha, after they were convicted of attempting to assassinate him, adding to a pattern of over 200 pardons"
Timor-Leste,2010,Unknown,Resistance,Increase in civic capacity,"In 2010 Aderito Soares, was sworn in as the first anti-corruption commissioner, authorized to investigate accusations of corruption against officials."
Timor-Leste,2010,NA,Resistance,Pressure from outside actor,"The United Nations and human rights groups widely condemn President Jos? Ramos-Horta's high volume of pardons, claiming it was a ""direct effort to minimize the meaning and essence of national law"""
Timor-Leste,2010,NA,Symptom,Weakened civil service or integrity institutions,"Prime Minister Xanana Gusmao exerted public pressure on the anti-corruption commission KAK when Emilia Pires, the finance minister, was charged with corruption."
Timor-Leste,2012,Unknown,Resistance,Coalitions or elite pacts,Gusm?o was successful in forming another coalition government
Timor-Leste,2013,June,Precursor,External influence or Invasion,Singapore and Laos refuse to allow East Timor into the Association of Southeast Asian Nations (ASEAN) due to its poor economic development
Timor-Leste,2013,NA,Precursor,Vertical corruption,Mari Alkatiri is using a casino on Oecussi to make money for himself.
Timor-Leste,2014,August,Symptom,Reduction in judicial independence,"The president pardoned the former Minister of Justice, Lucia Lobato, who was serving a five-year sentence for corruption"
Timor-Leste,2014,October,Precursor,Delegitimizing or weakening judiciary,"Prime Minister Xanana Gusm?o expels seven foreign judges and prosecutors, blaming them after losing a lawsuit against American energy company ConocoPhillips and potentially fearing these judges would have accused his government of corruption"
Timor-Leste,2014,Unknown,Symptom,Media repression,"Also in 2014, Parliament overwhelmingly approved the Media Act in May with 53 votes in favor and four abstentions. Journalists, in order to work, must first obtain authorization from a largely government-controlled press council. The law also capped foreign ownership of media at 30%, and drew up various fines that could be incurred on the media."
Timor-Leste,2014,Unknown,Precursor,Vertical corruption,"According to a World Bank estimate, Timor-Leste loses around 1.5 to 2 percent of gross domestic product to corruption annually."
Timor-Leste,2016,Unknown,Resistance,Increase in civic capacity,A 2016 decree-law initiated both administrative and fiscal decentralization to municipal governments
Timor-Leste,2016,Unknown,Resistance,Increase in civic capacity,Another 2016 decree-law required parties to facilitate women's and young people’s participation.
Timor-Leste,2016,Unknown,Symptom,Weakened civil service or integrity institutions,"The anti corruption bodies that were created in response to the issue lack enough funding to operate effectively. The independent Anti-Corruption Commission (CAC) cannot arrest or prosecute anyone, instead relying on the prosecutor general, with input from police and the courts, to pursue corruption investigations"
Timor-Leste,2016,NA,Precursor,Economic shocks and health shocks,"Oil accounted for 90% of government revenues in this year, and declining oil prices destabilized the economy"
Timor-Leste,2017,June,Resistance,Increase in media protections/media liberalization,Two journalists were acquitted from defamation charges by former prime minister Rui Maria De Araujo.
Timor-Leste,2017,July,Symptom,Repression of the opposition,"President Guterres denied CNRT's, PLP's and KHUNTO's request to form an alliance (AMP) with other parties that would give it a majority."
Timor-Leste,2017,August,Precursor,Vertical corruption,Members of Parliament had access to heavily discounted automobiles when most of the country could not afford them.
Timor-Leste,2017,August,Resistance,Nonviolent protest,Mass protests regarding the sale of government-owned cars to Parliamentarians shut down the swearing-in ceremony of the new government.
Timor-Leste,2018,January,Precursor,Delegitimizing or weakening legislature,Guterres dissolved parliament when AMP blocked Fretelin's agenda and prevented budgets from passing.
Timor-Leste,2018,Unknown,Symptom,Reduction in legislative oversight,"In January 2018, President Ramos-Horta held talks with all parties before dissolving the Parliament."
Timor-Leste,2019,NA,Precursor,Vertical corruption,It was found that most oil wealth does not benefit the people of Timor-Leste but more elite individuals who have become very wealthy due to their links to petroleum deals
Timor-Leste,2020,March,Resistance,State attempts to prevent backsliding,"During the Covid-19 crisis, the government refused to encourage growing xenophobia against those believed to have brought in the virus, and did not play into populist fears"
Timor-Leste,2020,Unknown,Symptom,Repression of the opposition,"Chief of Defense Force Lere Anan Timur announced his plan to detain their leader, Angela Freitas, In September 2020."
Timor-Leste,2020,Unknown,Resistance,Nonviolent protest,This was after her and the movement worked to organize a 15-day protest questioning the government’s legitimacy and demanding the resignation of the president
Togo,2002,May,Precursor,Manipulation of civil service,"President Eyadema dismissed the national election commission on the grounds of being unable to properly function; in its place, Eyadema himself chose officials to oversee the legislative elections."
Togo,2002,October,Precursor,Lack of legitimacy,"In response to Eyadema's manipulation of the national election commission, opposition parties boycotted the elections."
Togo,2002,December,Symptom,Media repression,A bill lengthening sentences for defamation of government officials was passed.
Togo,2002,December,Symptom,Relaxation of term limits,"Prime minister Kodjo called for a constitutional amendment in 2002, which was passed in December of that year. The amendment ended term limits, allowing Gnassingbe Eyadema to run for reelection in 2003."
Togo,2002,Unknown,Symptom,Repression of the opposition,"In addition, Eyad?ma also included an amendment whereby any presidential
candidate has to live in Togo for at least a year before the election. This was done to deter the
then-opposition leader, Gilchrist Olympio, from being able to participate as he was living in
exile."
Togo,2002,Unknown,Symptom,Relaxation of term limits,"When his additional two terms permitted by the constitution were used up in 2002, Gnassingb? Eyad?ma passed an amendment to the constitution through his “rubber-stamp parliament,” allowing him to remain president for three more years."
Togo,2002,Unknown,Symptom,Revision of the constitution,"Specifically, Gnassingb? Eyad?ma reduced the presidential election system from two rounds to one, and changed the voting system so that whoever receives the most votes can win, without necessarily obtaining half the votes."
Togo,2003,October,Symptom,Repression of the opposition,"Gilchrist Olympio, incumbent President Eyadema’s central rival, was barred from running and Togo’s Constitutional Court upheld his exclusion."
Togo,2005,February,Destabilizing Event,Coup or regime collapse,"After President Eyadema’s death, the Togolese military installed Eyadema’s son, Faure Gnassingbe as president. The constitution was quickly modified to allow Faure Gnassingbe to remain president until 2008."
Togo,2005,February,Resistance,Pressure from outside actor,"After President Eyadema died and Faure Gnassingbe was put in power by the military, condemnation from ECOWAS (the Economic Community of West African States) and the African Union led Gnassingbe to step down until presidential elections were held."
Togo,2005,April,Precursor,Electoral fraud and voter suppression,"The 2005 elections were surrounded by allegations of fraudulent votes, voter intimidation, and a complete blackout of media and communication on election day."
Togo,2005,April,Resistance,Pressure from outside actor,Condemnation of a military coup from the African Union and the Economic Community of West African States led President Gnassingbe to agree to allow elections in April of 2005.
Togo,2005,Unknown,Precursor,Overstayed welcome,"Despite Faure Gnassingb?’s continuous re-election for the past 15 years, polls by
AfroBarometer have also revealed data about public opinion that is contrary to election
results. In surveys conducted in 2012, 2014, and 2017, the vast majority of Togolese people
have consistently supported the imposition of a two-term presidential limit (84%, 85%, and
87%, respectively)."
Togo,2005,Unknown,Precursor,Lack of legitimacy,"In every presidential election, Faure Gnassingb? has won and the opposition has accused
the elections of being fraudulent."
Togo,2005,Unknown,Precursor,Electoral boycott,"he minimum age for the presidency was also decreased from 45 to 35 years in
preparation for his son’s succession.46 Because of the opposition boycott in the October
legislative elections that year, the ruling party won an overwhelming majority (72 of 81) of
parliamentary seats. These amendments to the constitution where thus easily passed through
the National Assembly."
Togo,2006,August,Resistance,Increase in electoral integrity,President Gnassingbe created an independent electoral commission and scheduled legislative elections. The elections were uncharacteristically free and peaceful.
Togo,2017,August,Precursor,State-conducted violence or abuse,"In August 2017, President Gnassingbe’s security forces killed two demonstrators in the city of Sokode amidst demonstrations calling for the resignation of Gnassingbe and a reinstatement of the 1992 constitution"
Togo,2017,Unknown,Symptom,Repression of the opposition,"But the government response to the 2017-18 protests were not a one-off case.
According to the UN, 400-500 people were killed, and thousands were wounded during the
2005 post-election protests.55 The civil liberty curtailment in 2005 is similar to that in 2017-
18 because it serves to consolidate the president’s authority, by stifling the opposition’s
accusations of fraud and of the unconstitutionality of Faure Gnassingb?’s rise to power."
Togo,2017,Unknown,Resistance,Nonviolent protest,"the 2017-18 protests were a major event in Togo’s recent
history?and as a form of vertical accountability, it eventually led to the reinstatement of the
1992 constitution with the two-term presidential term limit. Spearheaded by Tikpi Atchadam,
a relatively unknown leader of the PNP, a demonstration occurred on August 19, 2017."
Togo,2017,Unknown,Resistance,Violent protest,"Following the elder Eyad?ma’s death in 2005, the son Faure Gnassingb? came into
power through a military coup."
Togo,2017,Unknown,Symptom,Media repression,"Following the
announcement of the protests, the internet was shut down from September 5-11, 2017. As the
demonstrations progressed, in February 2018, the broadcasting frequencies for the radio
station CityFM and TV channel La Cha?ne du Futur were withdrawn without appeal?
ostensibly for breaching licensing rules."
Togo,2018,December,Precursor,Lack of legitimacy,"The legislative elections held on December 20th, 2018 were boycotted by the opposition groups."
Togo,2020,Unknown,Symptom,Media repression,"During the 2020 presidential elections, CENI barred the Catholic Church and the National
Consultation of Civil Society of Togo?the country’s main independent election observer?
from monitoring the 2020 presidential elections, and expelled National Democratic Institute’s
election-monitoring staff from the country.60,61 Instant messaging apps WhatsApp, Telegram,
and Facebook Messenger were also blocked on the day of the election.
"
Tunisia,2000,Unknown,Precursor,Vertical corruption,President Ben Ali and his family controlled 21% of net private sector profits via ownership of 220 companies during his rule
Tunisia,2002,May,Symptom,Relaxation of term limits,"In 2002, President Zine El Abidine Ben Ali won a referendum to amend the constitution to relax term limits, allowing him to continuously run for re-election."
Tunisia,2010,December,Precursor,State-conducted violence or abuse,Tunisian security forces killed at least 219 people in their attempt to suppress the Arab Spring protests according to a UN estimate
Tunisia,2010,December,Resistance,Nonviolent protest,"Tunisia was among the first states to see mass protests in the Arab Spring, with protests breaking out against unemployment and political restrictions in December 2010."
Tunisia,2010,December,Resistance,Violent protest,"Street vendor Mohamed Bouazizi set himself on fire to protest his unfair treatment by government officials, setting into motion the Arab Spring movement that eventually toppled President Ben Ali's regime"
Tunisia,2010,December,Destabilizing Event,Regional unrest spillover,"Many regional neighbors, including Libya, Egypt, Syria, and Yemen, experienced extreme unrest and even civil war, with its effects spilling over to Tunisia."
Tunisia,2010,December,Destabilizing Event,Economic shocks and health shocks,"Economic problems persist, with a shrinking middle class and rising unemployment in Tunisia, further exacerbated by the COVID pandemic."
Tunisia,2011,January,Destabilizing Event,Civil war/revolution,"Popular protests as part of the Arab Spring led to the Jasmine Revolution, with President Zine El Abidine Ben Ali resigning and fleeing Tunisia, paving the way for elections."
Tunisia,2011,January,Resistance,Transfer of power from authoritarian leaders,"In the wake of the 2011 protests, Ben Ali eventually fled the country further losing legitimacy internationally and domestically."
Tunisia,2011,October,Destabilizing Event,Economic shocks and health shocks,"The Libyan Civil War affected Tunisian employment and tourism, which hurt a large part of Tunisia's economy"
Tunisia,2011,October,Resistance,Increase in civil liberties,"Tunisia held its first competitive elections in 2011, with 51.7% of eligible voters registering, leading to the Ennahda party winning 89 of 217 National Constituent Assembly Seats."
Tunisia,2013,February,Symptom,Repression of the opposition,Chokri Bela?d was assassinated
Tunisia,2013,April,Symptom,Repression of the opposition,Mohamed Brahimi was assassinated
Tunisia,2013,September,Precursor,Extremist/populist parties,"The Free Destourian Party, composing of many members of Tunisia's pre-revolution ruling party the Constitutional Democratic Rally, is a populist party now led by Abir Moussi."
Tunisia,2013,December,Resistance,Transfer of power from authoritarian leaders,"Additional accountability was inaugurated through the creation of the Truth and Dignity Commission, which carried out a series of investigations on human rights violations, police corruption, and prosecuted Ben Ali and members of his cadre."
Tunisia,2014,January,Resistance,Post-democratic transition to new constitution,"The Constituent Assembly passed a new constitution, which established: executive restraints by creating accountability between the President, who maintains responsibility for foreign relations, and the Prime Minister, who oversees domestic endeavors; an independent judiciary; stipulated-to separation of power; presidential term limit restrictions; and expanded civil rights for both men and women through the creation of a Ministry of Human Rights and Transitional Justice"
Tunisia,2014,December,Resistance,Increase in electoral integrity,Beji Caid Essebsi was elected in a presidential election that was regarded as the first free and fair election in Tunisian history
Tunisia,2015,March,Precursor,Non-state violence,"In a terrorist attack which ISIS would later take credit for, two gunmen opened fire on visitors to the Bardo National Museum in Tunis, killing twenty-two, both Tunisians and foreign tourists"
Tunisia,2015,June,Precursor,Non-state violence,"In a June 2015 attack claimed by the Islamic State, a lone gunman targeted foreign tourists at the Sousse beach resort, killing at least 38 and wounding another 39"
Tunisia,2015,June,Symptom,Suspension of laws or the constitution,"A state of emergency was declared by President Essebsi in 2015 because of an Islamic State attack at a hotel. This suspension of rules gives the executive branch more flexibility, hands the army and police more authority, and restricts certain rights like public assembly."
Tunisia,2015,July,Symptom,Curtailed civil liberties,"Tunisia has repeatedly extended the state of emergency declared in the aftermath of the Sousse beach resort shooting, first by President Beji Caid Essebsi and now extended by subsequent administrations. The declaration has enabled government security forces to use excessive force, arbitrary detentions, unnecessary raids, and enforce curfews."
Tunisia,2015,July,Precursor,Diaspora,Tunisians who have left to join jihadist groups abroad have been returning in subsequent years and participating in terrorist activity in Tunisia.
Tunisia,2015,July,Symptom,Curtailed civil liberties,The state of emergency declared by President Beji Caid Essebsi granted the Interior Ministry the power to prohibit protests and social demonstrations it deems threats to national security
Tunisia,2015,August,Symptom,Curtailed civil liberties,"A new set of counterterrorism laws curtailed the rights to protest and free speech, broadly defining terrorism in a way that could subject the law to abuse and ultimately allowing security officers to constitutionally jail anyone who demonstrates public dissent"
Tunisia,2015,November,Precursor,Non-state violence,"In November 2015, a suicide bomber targeted a bus carrying members of the presidential guard, killing 12."
Tunisia,2015,Unknown,Precursor,Economic shocks and health shocks,"Due to economic issues in the Southern regions, youth that distrust the government and are unemployed at higher than average rates are swayed by terrorist groups"
Tunisia,2016,January,Precursor,Delegitimizing or weakening judiciary,"Tunisia's Constitutional Court has remained vacant since its creation in 2014, as parliament, the President, and the Supreme Judicial Council have failed to reach a consensus on the appointees."
Tunisia,2016,March,Precursor,Non-state violence,In 2016 an attack in the border town of Ben Gardane by members of the terrorist group Islamic State of Iraq and the Levant (ISIL) trained in Libya underscored deficiencies in Tunisia’s security approaches.
Tunisia,2016,July,Resistance,Coalitions or elite pacts,The ruling coalition formed the National Unity Government alongside a few opposition parties and unions to govern by consensus.
Tunisia,2016,November,Precursor,Non-state violence,Islamist extremists broke into a Tunisian soldier’s home to murder him.
Tunisia,2017,May,Resistance,Nonviolent protest,"Tunisians protested against the Reconciliation Bill of 2017, though ultimately did not prevent its passage."
Tunisia,2017,May,Precursor,Manipulation of civil service,"In May, the head of the Independent High Authority for Elections resigned, stating he was receiving political pressure and questioned the body’s independence."
Tunisia,2017,August,Resistance,State attempts to prevent backsliding,"President Essebsi established an Individual Freedoms and Equality Committee, which was charged with proposing legislative reforms that would protect civil liberties"
Tunisia,2017,October,Precursor,Horizontal corruption,"A 2017 bill, the Law on Administrative Reconciliation, attempts to address corruption while also circumventing cooperation with civil society and the public, and putting anti-corruption responsibilities into the hands of government officials perceived to be the most corrupt."
Tunisia,2017,October,Symptom,Weakened civil service or integrity institutions,"The 2017 Reconciliation Bill further undermined the power of the judiciary and danti-corruption Truth and Dignity Commission, both integrity institutions that supposedly punished corruption."
Tunisia,2017,November,Precursor,Non-state violence,Islamic extremists attacked police officers in Tunis.
Tunisia,2017,Unknown,Resistance,Exit of people or money,"Many Tunisians, disillusioned by the political situation in Tunisia, opted to migrate to Europe, starting in 2017."
Tunisia,2018,January,Resistance,Nonviolent protest,Large-scale protests broke out in January 2018 over the Tunisian government's austerity measures.
Tunisia,2018,January,Precursor,State-conducted violence or abuse,"More than 900 people were arrested in the crackdowns on the 2018 Tunisian protests, with many claiming beatings and other abuse in the hands of police. One of the protestors was killed"
Tunisia,2018,January,Symptom,Curtailed civil liberties,"In the midst of widespread protests, police officers were empowered to ban strikes and gatherings, impose curfews, censor the media, and search shops without notice."
Tunisia,2018,January,Resistance,Increase in civic capacity,"A new youth movement called Fech Nestannew, or “What are we waiting for?” surfaced to fight price hikes and overturn the 2018 Finance Act through coordinated opposition organized on social media."
Tunisia,2018,February,Precursor,State-conducted violence or abuse,Police officers raided a courthouse to free 5 officers on trial for torture
Tunisia,2018,March,Symptom,No-confidence votes or decreased voter turnout,"After local elections were delayed by two months from March to May, voter turnout was a historic low."
Tunisia,2018,June,Precursor,Polarization,"Tensions rose between the two major Tunisian parties, secular party Nidaa Tounes and moderate Islamist party Ennahdha, over whether prime minister Youssef Chahed should resign from his position"
Tunisia,2018,July,Precursor,Increasing control over civil society,"Law 30, passed under Essebsi's parliament, allowed for greater control over nongovernmental organizations, requiring them to register with the National Registry of Institutions, which can deny applications."
Tunisia,2018,December,Symptom,Reduction in legislative oversight,The decrease in the budget for parliament restricts the amount of oversight they can provide as a form of checks and balance against the executive.
Tunisia,2018,Unknown,Precursor,Economic shocks and health shocks,"Tunisia was affected by high inflation, high unemployment, and debt burden to the International Monetary Fund"
Tunisia,2019,January,Precursor,Vertical corruption,A 2019 NGO report revealed that 96% of Tunisia's over two hundred registered political parties refused to disclose their financial statements
Tunisia,2019,September,Symptom,No-confidence votes or decreased voter turnout,"Decreasing confidence in government has led to decreasing voter turnout in Tunisia, with turnout reaching as low as 39% in the 2019 elections, and getting as low as 33% in marginalized regions like Kasserine."
Tunisia,2019,Unknown,Precursor,Horizontal corruption,More than 1/5 of the 43 ministers and under-secretaries of state that served under PM Youssef Chahed had previously served under Ben Ali's regime
Tunisia,2019,Unknown,Symptom,Repression of the opposition,Saied has also arrested almost every presidential candidate who ran against him in 2019 on charges of illegal advertising.
Tunisia,2020,January,Symptom,Curtailed civil liberties,The Tunisian police was accused of torturing detainees during interrogations and denying them the right to legal representation
Tunisia,2020,Unknown,Precursor,Economic shocks and health shocks,The unemployment rate in Tunisia increased from 15% to 21% and its economy shrunk by 7% as a result of the Covid-19 pandemic
Tunisia,2020,Unknown,Precursor,Polarization,Tunisian journalists faced attacks on social media from political partisans
Tunisia,2020,Unknown,Precursor,Economic shocks and health shocks,Shortages have been on the rise due to interrupted supply chain issues exacerbated by the COVID-19 pandemic and war in Ukraine. Tunisians are struggling with high prices and shortages of basic goods and a 10% inflation rate which are causing widespread hardship and frustration.
Tunisia,2021,July,Symptom,Weakened civil service or integrity institutions,"President Saied declared a state of emergency, giving himself expanded executive powers leading to dissolving parliament, and dismiss high ranking officials including the prime minister"
Tunisia,2021,July,Symptom,Weakened civil service or integrity institutions,"However, the suspension of parliament and dismissal of the prime minister by President Kais Saied in 2021?indicating a self-coup? have raised concerns about Tunisia's democratic future."
Tunisia,2021,July,Symptom,Suspension of laws or the constitution,"President Saied violated the constitution by not communicating with the Prime Minister, Speaker of Representatives, and President of the Constitutional Court about declaring a state of emergency"
Tunisia,2021,July,Symptom,Weakened civil service or integrity institutions,"On July 26, 2021 President Saied dismissed Prime Minister Hichem Mechichi and his entire cabinet from office."
Tunisia,2021,July,Symptom,Media repression,The media's freedom is obstructed because members of the political community have to go through the President to display anything on television.
Tunisia,2022,February,Symptom,Purging of elites,"This resulted in the prosecution of independent parlimentarian, Yassine Ayari in military court for critiques of the military he made on social media in 2018."
Tunisia,2022,February,Precursor,Delegitimizing or weakening judiciary,President Saied Dissolved the Supreme Judicial and replaced them with a temporary of selected judges
Tunisia,2022,April,Symptom,Reduction in judicial independence,The incumbent was given an artificial advantage by controlling membership into the organization that controls all of Tunisia's elections
Tunisia,2022,July,Symptom,Reduction in legislative oversight,"In assuming the power to appoint and dismiss judges, Saied compromised the integrity of judicial institutions to reduce friction and opposition to his power grab. In July of 2022, his declarations were adopted into law creating a bicameral Parliament, decreasing the seats in the lower house from 217 to 161, and placing new candidacy requirements. The new bicameral parliament maintains the directly elected Assembly of the Representatives of the People and creates the National Assembly of Regions and Districts, an indirectly elected upper chamber"
Tunisia,2022,July,Resistance,Nonviolent protest,"For example, Tunisian judges carried out a month-long strike after Saied fired 57 judges on charges of “so-called moral corruption and protecting terrorists”."
Tunisia,2022,July,Symptom,Revision of the constitution,President Saied a helmed constitution was voted into effect which consolidated all power to the presidency in a skeptical vote
Tunisia,2022,September,Symptom,Weakened civil service or integrity institutions,In September of 2022 Saied passed Electoral Decree No. 55 which completely undermined the electoral integrity established in 2014. This constitutional revision decreases judicial and legislative checks on executive power.
Tunisia,2022,September,Symptom,Discrimination against minorities,"The 2014 Constitution ensured gender parity and youth quotas, which have been rendered obsolete in the latest revision. This undermines minority representation and a plurality of voices in government."
Tunisia,2022,September,Symptom,Revision of the constitution,A new electoral law changed the Tunisian electoral process making candidates for parliament run individually with not party association
Tunisia,2022,September,Symptom,Systemic reduction in election freedom and fairness,"This creates barrier of entry for people to run for office. Especially since the president put criminal charges on opposition, it systematically bars opponents from running against President Saied"
Tunisia,2022,October,Resistance,Nonviolent protest,"In October this year, protestors demanded for President Saied to step down"
Tunisia,2022,December,Symptom,No-confidence votes or decreased voter turnout,Results from Tunisia’s latest election in December of 2022 demonstrate apathy and disengagement with an 11% voter turnout.
Tunisia,2022,Unknown,Destabilizing Event,Economic shocks and health shocks,Since 2022 grain and cereal prices have increased from 25% to 97% making food insecurity commonplace.
Tunisia,2023,April,Symptom,Media repression,"Beginning in 2017, journalists in Tunisia were commonly taken into custody for questioning by police about their sources, and imprisoned for defamation of military and government officials."
Turkey,2000,Unknown,Precursor,Increasing control over civil society,"The government has shown no interest in stopping a growing crisis of child
marriages and domestic violence targeting vulnerable individuals. The Directorate also
briefly endorsed the practice of child marriage for girls as young as 9 before public
outcry led to a retraction. A Parliamentary report commissioned by the AKP targeted at
limiting divorce has proposed weakening existing protections against domestic violence."
Turkey,2002,Unknown,Precursor,Increasing control over civil society,The Directorate has direct control over policy such as elements of the school curriculum.
Turkey,2002,Unknown,Resistance,Increase in civic capacity,"The AKP introduced a new Civil Code and expanded protections for freedom of expression, which increased Turkey’s scores for political rights and civil liberties.
"
Turkey,2002,Unknown,Resistance,Coalitions or elite pacts,"Since 2002, the AKP has held together a reform coalition that includes many
secular voters who are disillusioned by the existing political system or who have
benefited from AKP rule and vote alongside the AKP base of religious conservatives."
Turkey,2003,March,Precursor,Extremist/populist parties,"Recep Tayyip Erdogan is elected Prime Minister of Turkey representing the Justice and Development Party (AKP), which supports Islamic, anti-secularist sentiment and paints Erdogan as an underdog fighting for common interests against the secular elite"
Turkey,2003,Unknown,Resistance,Increase in civic capacity,"Initially, the AKP oversaw a vast expansion of civil and political liberties and the
institutionalization of democratic principles."
Turkey,2005,June,Symptom,Media repression,The government revised the penal code to allow journalists who discuss subjects deemed to be controversial by the government to be prosecuted
Turkey,2006,May,Resistance,Nonviolent protest,Thousands of protestors convened in May after a shooting in an Ankara court building to take a stand against Islamic terrorism.
Turkey,2006,May,Symptom,Repression of the opposition,An antiterrorism law enabled the government to arrest those that do not agree with its ideals.
Turkey,2006,July,Precursor,Coup or regime collapse,"The coup was led by mid level military officials who rejected political appointments from Erdogan. Erdogan resisted the coup and became ever stronger, though severely destabilizing Turkey"
Turkey,2007,April,Resistance,Nonviolent protest,Thousands of protestors took to the streets in Ankara in protest of Recep Tayyip Erdogan's candidacy for the presidency.
Turkey,2007,June,Precursor,Coup or regime collapse,"In the failed Ergenekon Plot, security forces, paramilitary groups, NGOs, organized crime groups, civil society, and civil service people conspired to overthrow the government."
Turkey,2007,July,Precursor,Party weakness,"Prime Minister Recep Tayyip Erdogan pushes for the election of Islamist fellow AKP member Abdullah Gul as president, securing both premier leadership positions for the AKP and consolidating the balance of power"
Turkey,2007,October,Symptom,Revision of the constitution,"Prime Minister Recep Tayyip Erdogan schedules early elections and passes numerous Constitutional amendments, the most notable of which altered the system such that the President would be elected directly by the public rather than by a two-thirds majority in the legislature, veering away from the parliamentary system"
Turkey,2007,Unknown,Precursor,Media bias,Erdogan seized a powerful newspaper and forced it to sell to his son in law through a legal process but illegal means.
Turkey,2007,Unknown,Precursor,Delegitimizing or weakening judiciary,Judicial appointees had to be approved by AK party led ministry of justice
Turkey,2007,Unknown,Symptom,Media repression,Enabled a businessman to purchase the second largest secular media outlet and turn it into an islamist organization
Turkey,2008,March,Resistance,Check on executive by judiciary,The Constitutional Court of Turkey launched a case to shut down the Erdogan-led Justice and Development Party (AKP) for promoting anti-secularism
Turkey,2008,Unknown,Symptom,Repression of the opposition,"From 2008 - 2011, Erdo?an and the AKP prosecuted a number of leading military officers, politicians, and journalists who allegedly conspired to assassinate public figures and planned to sell chemical weapons to terrorist groups. There were many significant problems with these proceedings, including the usage of questionable evidence to determine to sentence."
Turkey,2008,Unknown,Precursor,Media bias,Erdogan started encouraging Akp-friendly businesses so they can buy tv stations to create a government-friendly media.
Turkey,2009,Unknown,Symptom,Media repression,Erdogan and the AKP lead government forced the Dogan media group to sell two of its newspapers after charging them with 2.5 billion dollars in tax fraud after an investigation in to AKP donations.
Turkey,2010,September,Symptom,Revision of the constitution,Prime Minister Erdogan passed 26 amendments to the Turkish constitution via referendum; the changes gave him increased control over the military and judiciary and gained public support due to promises the amendments would protect against unpopular military coups
Turkey,2010,September,Symptom,Reduction in judicial independence,"A referendum promoted by the ruling Justice and Development Party (AKP) passed, increasing government control over appointments to Turkey's highest court, the constitutional court, and the Supreme Board of Judges and Prosecutors, which appoints most senior judiciary officials."
Turkey,2010,Unknown,Resistance,Check on executive by judiciary,"A slate of judicial reforms in 2010 was tasked with increasing judicial autonomy and granting more power
to the High Council of Judges and Prosecutors (HCJP), a move celebrated by
international groups such as the EU Council."
